Attrition_Flag,Gender,Dependent_count,Education_Level,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Married,Single,Unknown,Age_Under 30,Age_30-40,Age_40-50,Age_50-60,Total_Trans_Amt_Binned_Low,Total_Trans_Amt_Binned_Medium,Total_Trans_Amt_Binned_High,Avg_Open_To_Buy_Binned_Low,Avg_Open_To_Buy_Binned_Medium,Avg_Open_To_Buy_Binned_High,Total_Revolving_Bal_Binned_Low,Total_Revolving_Bal_Binned_Medium,Total_Revolving_Bal_Binned_High
0,0.0,1,1,2,1,46,4,1,2,1.0,13410.0,23,0.921,1.3,0,0,1,False,False,False,True,False,True,False,False,True,False,False,True,False
0,0.0,1,-1,3,1,56,3,3,2,1.0,9205.0,40,0.843,1.0,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False
0,1.0,3,0,-1,1,34,5,2,2,0.0,10100.0,18,0.525,1.571,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0.0,4,1,2,1,42,6,0,0,1.0,3423.0,38,0.739,0.9,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,3,-1,4,1,33,3,2,3,1.0,942.0,25,0.977,2.571,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,2,0,3,1,48,2,5,1,1.0,761.0,26,1.323,1.6,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,4,3,3,1,36,4,1,2,1.0,6406.0,24,1.726,1.667,1,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,1.0,2,2,1,1,38,5,2,3,0.0,1160.0,28,1.75,1.0,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0.0,0,3,4,1,49,6,2,2,1.0,10859.0,24,0.519,0.714,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,1,2,1,1,36,4,2,1,0.0,1606.0,43,0.51,0.483,0,1,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,1.0,3,3,1,1,36,6,2,3,0.0,737.0,37,1.724,1.176,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,1.0,4,1,1,3,36,2,3,3,0.0,15433.0,22,0.865,1.2,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False
0,1.0,1,3,2,1,49,3,3,2,0.0,2786.0,28,1.32,0.556,0,0,1,False,False,False,True,False,True,False,True,False,False,False,True,False
1,1.0,0,5,-1,1,56,5,4,3,0.0,7277.0,16,1.052,0.143,1,0,0,False,False,False,False,True,False,False,False,True,False,False,True,False
0,0.0,3,3,4,1,41,2,2,2,1.0,31848.0,28,1.042,0.474,0,1,0,False,False,True,False,False,True,False,False,False,False,False,True,False
0,0.0,2,-1,2,1,44,4,1,0,1.0,4001.0,28,0.803,0.556,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,1,2,2,2,43,3,2,3,0.0,14787.0,33,1.449,1.2,0,1,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,0.0,3,1,3,1,37,5,2,1,1.0,3906.0,32,1.214,1.0,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False
0,1.0,4,3,-1,1,28,2,3,3,0.0,7775.0,23,0.977,0.917,0,1,0,False,True,False,False,False,True,False,False,True,False,False,False,True
0,0.0,4,0,4,1,30,3,2,3,1.0,34516.0,28,1.621,1.333,0,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False
0,0.0,2,5,3,1,45,6,2,0,1.0,853.0,27,2.316,0.588,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0.0,1,5,2,1,52,3,2,2,1.0,528.0,27,2.357,1.7,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,3,1,4,1,40,4,3,3,1.0,18023.0,27,0.787,0.8,1,0,0,False,False,True,False,False,True,False,False,False,True,False,True,False
0,0.0,1,2,4,1,40,5,1,1,1.0,3518.0,40,0.624,0.6,0,1,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,1.0,3,-1,1,1,41,6,3,2,0.0,1073.0,30,1.321,1.143,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
1,1.0,1,3,1,1,40,2,3,1,0.0,630.3,19,0.997,0.9,1,0,0,False,False,False,True,True,False,False,True,False,False,False,True,False
0,1.0,0,1,1,1,54,3,4,2,0.0,992.0,38,1.224,1.923,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True
0,0.0,2,-1,5,1,36,4,2,0,1.0,17246.0,35,0.664,0.25,1,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True
1,0.0,2,3,5,1,36,1,3,3,1.0,15769.0,15,1.041,0.364,1,0,0,False,False,False,True,True,False,False,False,False,True,False,False,False
0,1.0,4,3,1,1,36,6,4,2,0.0,1098.0,32,0.678,0.6,0,0,1,False,False,True,False,False,True,False,True,False,False,False,False,True
0,1.0,3,3,1,1,36,2,2,0,0.0,439.0,40,0.75,0.6,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,2,0,2,1,50,4,2,3,1.0,2578.0,29,1.107,1.417,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,1.0,5,3,-1,1,35,4,1,2,0.0,5295.0,25,2.275,1.083,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,2,1,3,1,34,4,4,3,1.0,1583.0,27,0.69,1.25,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,3,-1,4,1,47,4,2,3,1.0,1420.0,33,0.901,0.833,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
1,0.0,2,3,3,2,35,2,4,4,1.0,34516.0,15,0.763,0.5,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False
0,0.0,1,1,3,1,33,5,3,3,1.0,4675.0,28,0.944,1.154,0,0,0,False,True,False,False,False,True,False,False,True,False,False,True,False
0,0.0,4,4,5,1,32,2,4,2,1.0,21855.0,26,0.997,0.733,0,1,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,0.0,2,1,5,1,44,4,2,2,1.0,13100.0,23,0.989,0.917,0,1,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,0.0,4,0,4,2,38,4,1,4,1.0,33001.0,32,0.592,0.6,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0.0,2,2,3,1,52,5,3,3,1.0,4767.0,35,0.62,0.667,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,2,0,1,1,20,6,3,3,0.0,616.0,28,1.004,0.556,0,1,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,2,3,3,1,32,2,2,2,1.0,580.0,17,1.715,2.4,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,2,5,4,1,38,6,2,2,1.0,23970.0,15,1.072,2.0,1,0,0,False,False,True,False,True,False,False,False,False,True,False,True,False
0,0.0,4,3,5,1,42,3,2,3,1.0,32753.0,41,1.266,1.05,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,True
0,1.0,2,3,1,1,42,5,3,3,0.0,1182.0,36,0.758,0.286,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0.0,1,3,3,1,43,4,2,3,1.0,880.0,21,0.769,0.4,0,0,1,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,5,0,4,1,37,6,2,2,1.0,21385.0,35,0.414,0.522,1,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,0.0,1,2,3,1,35,3,3,3,1.0,22380.0,24,1.312,1.182,0,1,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,0.0,2,3,4,1,36,5,3,2,1.0,3757.0,33,0.857,0.435,0,1,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,4,3,1,1,36,6,4,2,0.0,4483.0,23,0.475,1.875,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,1.0,3,0,1,1,29,4,4,2,0.0,5237.0,57,0.751,0.966,0,1,0,False,True,False,False,False,True,False,False,True,False,False,False,True
0,0.0,3,3,3,1,30,6,1,2,1.0,713.0,23,0.703,0.353,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,2,3,4,1,38,6,3,2,1.0,27005.0,35,0.85,0.4,1,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,0.0,3,3,3,1,37,4,4,0,1.0,6872.0,41,1.242,1.412,1,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,0.0,1,-1,5,1,36,6,2,2,1.0,32983.0,29,0.924,0.526,0,0,1,False,False,True,False,False,True,False,False,False,False,False,False,True
1,1.0,4,-1,2,1,45,2,4,3,0.0,2158.0,12,0.585,0.714,1,0,0,False,False,False,True,True,False,False,True,False,False,False,False,False
0,1.0,1,3,-1,1,52,2,3,3,0.0,8716.0,20,0.383,0.818,1,0,0,False,False,False,True,False,True,False,False,True,False,False,True,False
0,0.0,1,3,4,1,35,5,4,2,1.0,33297.0,27,1.129,2.0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0.0,2,3,3,1,47,5,3,0,1.0,1175.0,35,0.921,0.667,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,2,1,5,1,35,4,2,1,1.0,16984.0,31,0.607,0.722,0,1,0,False,False,False,True,False,True,False,False,False,True,False,False,True
0,1.0,3,0,1,1,35,5,2,3,0.0,4026.0,32,0.483,0.6,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False
0,0.0,3,1,3,1,31,4,3,1,1.0,11919.0,14,1.932,1.8,0,1,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,2,-1,5,1,45,5,3,3,1.0,5266.0,29,1.702,1.636,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False
0,1.0,2,1,1,1,36,3,2,2,0.0,9930.0,21,0.731,1.333,0,1,0,False,False,False,True,False,True,False,False,True,False,False,False,False
0,0.0,4,1,4,1,38,4,3,0,1.0,29349.0,35,0.875,2.182,0,1,0,False,False,True,False,False,True,False,False,False,False,False,False,True
0,0.0,1,3,2,1,36,4,4,3,1.0,6576.0,34,0.579,0.619,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0.0,0,3,4,1,42,5,4,1,1.0,627.0,29,0.85,0.933,0,1,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,1.0,3,-1,-1,1,28,5,1,2,0.0,95.0,20,1.705,1.222,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,1,3,1,1,52,6,4,3,1.0,814.0,32,1.656,0.882,1,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0.0,3,3,2,1,35,5,4,2,1.0,2254.0,30,0.597,0.304,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,3,5,2,1,35,5,3,2,1.0,2083.0,42,1.047,0.68,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,3,2,5,1,50,3,2,0,1.0,7439.0,19,0.576,0.727,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
1,0.0,2,-1,4,1,37,2,3,3,1.0,3821.0,18,0.696,0.385,1,0,0,False,False,True,False,True,False,False,False,True,False,False,False,True
0,1.0,3,2,-1,1,43,4,4,0,0.0,21072.0,22,0.619,1.0,0,1,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,1.0,3,-1,-1,2,34,5,3,3,0.0,32463.0,26,1.034,0.733,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,True
0,0.0,3,3,5,1,34,6,2,2,1.0,1676.0,33,0.562,0.5,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,1.0,2,3,1,1,32,3,3,3,0.0,1152.0,15,0.788,1.5,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,3,1,3,1,25,3,3,0,1.0,1862.0,34,0.883,0.789,0,0,1,False,False,True,False,False,True,False,True,False,False,False,False,False
0,1.0,4,4,1,1,33,2,3,3,0.0,7432.0,37,0.762,0.542,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,2,4,5,1,36,6,1,2,1.0,33585.0,21,0.828,1.1,0,1,0,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0.0,1,0,3,1,36,5,2,3,1.0,12010.0,30,1.283,0.667,1,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,1.0,1,-1,1,1,56,6,0,0,0.0,1438.3,44,0.813,1.095,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False
0,0.0,4,-1,5,1,36,6,3,2,1.0,31831.0,31,0.618,0.824,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0.0,4,3,3,1,39,4,3,0,1.0,6580.0,32,0.56,0.391,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,0.0,3,-1,3,1,36,5,3,3,1.0,14223.0,21,0.939,1.625,1,0,0,False,False,True,False,False,True,False,False,False,True,False,True,False
0,0.0,4,1,3,1,36,5,1,2,1.0,1589.0,35,0.588,0.346,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,1.0,0,0,1,1,36,2,2,2,0.0,788.0,24,1.674,3.0,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0.0,3,3,4,1,35,6,1,0,1.0,12257.0,37,0.791,1.056,0,1,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,1,3,4,1,36,6,2,2,1.0,17991.0,18,1.826,1.571,0,1,0,False,False,True,False,False,True,False,False,False,True,False,True,False
0,0.0,3,1,4,1,48,3,2,0,1.0,10703.0,36,1.024,1.118,0,0,1,False,False,False,True,False,True,False,False,True,False,False,True,False
0,0.0,3,1,4,1,39,4,1,4,1.0,8405.0,25,1.873,0.786,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,0.0,1,5,3,1,36,4,6,3,1.0,22963.0,24,0.712,1.0,1,0,0,False,False,True,False,False,True,False,False,False,True,False,True,False
0,1.0,2,1,1,1,44,3,2,3,0.0,3461.0,38,0.816,1.0,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,0.0,2,3,5,1,36,3,2,2,1.0,33493.0,13,1.004,0.625,0,1,0,False,False,True,False,False,True,False,False,False,False,False,True,False
0,1.0,1,5,1,1,36,4,1,0,0.0,1223.0,29,0.766,0.611,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,1,1,4,1,47,3,2,2,1.0,10426.0,38,1.584,1.533,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,3,1,2,1,41,4,3,3,0.0,2248.0,47,0.566,0.382,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,2,2,5,2,42,2,3,2,1.0,32989.0,42,0.526,0.355,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0.0,3,3,3,1,36,4,2,2,1.0,2926.0,24,0.676,0.846,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False
0,0.0,4,3,5,1,52,6,1,0,1.0,32090.0,30,0.567,0.364,0,1,0,False,False,False,True,False,True,False,False,False,False,False,False,False
1,0.0,2,3,4,1,41,3,3,2,1.0,9442.0,23,0.622,0.353,1,0,0,False,False,False,True,True,False,False,False,True,False,False,False,True
0,0.0,2,1,2,1,45,3,1,2,1.0,12232.0,29,0.846,1.417,0,1,0,False,False,False,True,False,True,False,False,True,False,False,True,False
0,1.0,1,0,1,2,36,4,2,2,0.0,9798.0,30,0.7,0.765,0,0,1,False,False,True,False,False,True,False,False,True,False,False,False,True
0,1.0,1,3,1,1,36,5,1,2,0.0,408.0,16,0.788,0.778,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True
0,0.0,4,-1,2,1,39,5,1,2,1.0,3594.0,16,0.632,2.2,1,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,0.0,4,3,4,1,46,3,2,3,1.0,17608.0,28,1.186,1.545,1,0,0,False,False,False,True,False,True,False,False,False,True,False,False,True
0,0.0,1,3,4,1,43,3,1,4,1.0,1193.0,34,1.541,0.7,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,2,5,1,1,37,2,1,3,1.0,2438.0,32,0.541,1.0,0,1,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,1.0,3,3,2,1,38,3,1,0,0.0,10961.0,27,0.688,0.929,0,1,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,2,1,3,1,36,5,3,2,1.0,5653.0,26,0.839,0.733,0,0,0,False,False,False,True,True,False,False,False,True,False,False,False,True
0,0.0,4,2,3,1,40,5,1,0,1.0,9222.0,42,1.689,1.211,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,1.0,1,2,-1,1,36,6,2,3,0.0,2399.0,29,1.236,1.231,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1.0,2,4,1,1,27,4,2,2,0.0,3688.0,19,0.939,0.727,0,1,0,False,True,False,False,False,True,False,False,True,False,False,False,True
1,1.0,5,1,1,1,38,1,3,3,0.0,8025.0,18,0.654,0.8,1,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False
0,0.0,1,-1,5,1,42,6,2,3,1.0,6709.0,18,0.649,0.636,0,1,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,0.0,4,3,4,1,34,2,3,2,1.0,12409.0,25,1.996,1.5,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,1,3,1,1,36,3,2,3,0.0,5207.0,20,0.397,0.667,0,1,0,False,False,False,True,False,True,False,False,True,False,False,True,False
1,0.0,1,2,3,1,53,2,3,3,1.0,14979.0,10,0.71,1.0,0,1,0,False,False,False,True,True,False,False,False,True,False,False,False,False
1,1.0,4,0,1,1,38,3,2,3,0.0,2732.0,16,0.76,0.455,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False
0,1.0,2,3,1,1,32,6,3,2,0.0,133.0,31,1.162,2.875,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,2,3,5,1,50,3,2,0,1.0,9380.0,34,1.317,1.0,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True
0,1.0,4,3,-1,1,36,4,1,3,0.0,4121.0,30,0.728,1.308,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,2,1,4,1,24,4,1,3,1.0,8262.0,39,0.572,0.625,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,3,1,4,1,28,5,1,0,1.0,21617.0,22,1.047,0.467,0,1,0,False,True,False,False,False,True,False,False,False,True,False,False,False
0,0.0,1,3,-1,1,56,5,2,3,1.0,12208.0,32,1.255,1.909,1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,True
0,1.0,1,3,2,2,31,2,2,3,0.0,18386.0,22,0.868,0.571,0,1,0,False,False,True,False,False,True,False,False,False,True,False,False,False
0,0.0,4,0,3,1,41,6,2,2,1.0,865.0,29,0.469,1.231,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,1.0,1,2,1,1,47,4,2,3,0.0,1224.0,26,2.121,1.364,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,1.0,5,-1,2,1,36,3,3,3,0.0,2038.0,28,0.786,0.75,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False
0,1.0,4,1,2,1,38,6,1,3,0.0,8135.0,29,1.373,0.812,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0.0,1,5,5,1,38,6,1,3,1.0,8746.0,27,0.554,0.8,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,1.0,2,0,-1,2,35,4,3,2,0.0,32643.0,24,1.3,2.429,1,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False
0,1.0,4,3,1,1,34,2,3,1,0.0,1241.0,29,0.971,0.706,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,0,1,4,1,43,5,2,1,1.0,1828.0,28,1.009,1.0,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,1.0,1,2,-1,1,36,2,3,3,0.0,2919.0,31,0.852,0.824,0,1,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0.0,1,0,3,1,36,3,2,2,1.0,18388.0,38,1.248,2.167,1,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,1.0,4,-1,1,1,41,6,5,3,0.0,1368.0,24,0.508,0.263,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,1.0,4,0,2,1,40,5,2,3,0.0,1495.0,28,1.077,1.333,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,1.0,3,0,1,1,43,3,1,2,0.0,424.0,30,0.682,0.429,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,1.0,3,0,1,1,36,4,1,0,0.0,865.0,29,0.993,0.706,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,1.0,4,0,1,1,47,3,3,3,0.0,649.0,23,1.456,2.286,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
1,0.0,5,3,4,1,33,6,3,3,1.0,30458.0,17,0.658,0.7,0,1,0,False,False,True,False,True,False,False,False,False,False,False,False,True
0,0.0,3,1,3,1,47,5,2,2,1.0,1438.3,53,0.776,0.828,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False
0,1.0,4,0,-1,1,36,4,3,3,0.0,14156.0,37,0.86,1.467,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True
0,1.0,1,1,1,1,45,6,3,3,0.0,5810.0,28,0.567,0.75,1,0,0,False,False,False,True,False,True,False,False,True,False,False,True,False
1,0.0,2,-1,4,1,36,2,2,1,1.0,3212.0,20,0.713,0.25,1,0,0,False,False,False,True,True,False,False,True,False,False,False,False,False
0,0.0,2,1,4,2,45,3,1,3,1.0,33256.0,34,0.588,0.789,1,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False
0,1.0,3,1,2,1,36,4,1,2,0.0,8363.0,34,0.644,0.478,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,1.0,5,3,2,1,36,5,2,2,0.0,8623.0,28,0.791,0.867,0,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,0.0,3,0,4,1,42,2,1,2,1.0,24956.0,47,1.432,0.88,1,0,0,False,False,False,True,False,True,False,False,False,True,False,False,True
0,1.0,1,3,1,1,56,4,3,2,0.0,489.0,32,2.053,1.0,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1.0,2,0,2,2,36,6,3,0,0.0,18410.0,22,0.706,1.444,0,1,0,False,False,False,True,False,True,False,False,False,True,False,True,False
0,1.0,1,0,2,1,36,4,2,3,0.0,2371.0,28,0.35,0.556,1,0,0,False,False,False,True,True,False,False,True,False,False,False,True,False
0,0.0,2,0,2,1,34,3,2,1,1.0,3523.0,18,1.791,0.8,1,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
